ID;"Active (0/1)";"Name *";"Parent category";"Root category (0/1)";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
83;1;"Vasos y copas";64;0;"Vasos y copas";"Vasos y copas";"Vasos y copas";"Vasos y copas";" ";
84;1;Vasos;83;0;Vasos;Vasos;Vasos;Vasos;" ";
85;1;Copas;83;0;Copas;Copas;Copas;Copas;" ";
86;1;"Posavasos y marcadores";83;0;"Posavasos y marcadores";"Posavasos y marcadores";"Posavasos y marcadores";"Posavasos y marcadores";" ";
87;1;"Electrodomésticos de cocina";64;0;"Electrodomésticos de cocina";"Electrodomésticos de cocina";"Electrodomésticos de cocina";"Electrodomésticos de cocina";" ";
88;1;"Robots de Cocina";87;0;"Robots de Cocina";"Robots de Cocina";"Robots de Cocina";"Robots de Cocina";" ";
89;1;"Cafeteras eléctricas";87;0;"Cafeteras eléctricas";"Cafeteras eléctricas";"Cafeteras eléctricas";"Cafeteras eléctricas";" ";
90;1;"Batidoras de Varillas";87;0;"Batidoras de Varillas";"Batidoras de Varillas";"Batidoras de Varillas";"Batidoras de Varillas";" ";
91;1;"Batidoras de Vaso";87;0;"Batidoras de Vaso";"Batidoras de Vaso";"Batidoras de Vaso";"Batidoras de Vaso";" ";
92;1;Freidoras;87;0;Freidoras;Freidoras;Freidoras;Freidoras;" ";
93;1;"Específicos (Panificadora, Yogurtera...)";87;0;"Específicos (Panificadora, Yogurtera...)";"Específicos (Panificadora, Yogurtera...)";"Específicos (Panificadora, Yogurtera...)";"Específicos (Panificadora, Yogurtera...)";" ";
94;1;"Exprimidores y licuadoras";87;0;"Exprimidores y licuadoras";"Exprimidores y licuadoras";"Exprimidores y licuadoras";"Exprimidores y licuadoras";" ";
95;1;"Balanzas de Cocina";87;0;"Balanzas de Cocina";"Balanzas de Cocina";"Balanzas de Cocina";"Balanzas de Cocina";" ";
96;1;"Foundues y Raclettes";87;0;"Foundues y Raclettes";"Foundues y Raclettes";"Foundues y Raclettes";"Foundues y Raclettes";" ";
97;1;"Planchas eléctricas";87;0;"Planchas eléctricas";"Planchas eléctricas";"Planchas eléctricas";"Planchas eléctricas";" ";
98;1;"Creperas y planchas eléctricas";87;0;"Creperas y planchas eléctricas";"Creperas y planchas eléctricas";"Creperas y planchas eléctricas";"Creperas y planchas eléctricas";" ";
99;1;"Microondas - Horno";87;0;"Microondas - Horno";"Microondas - Horno";"Microondas - Horno";"Microondas - Horno";" ";
100;1;"Tostadoras - Sandwicheras";87;0;"Tostadoras - Sandwicheras";"Tostadoras - Sandwicheras";"Tostadoras - Sandwicheras";"Tostadoras - Sandwicheras";" ";
101;1;"Hervidores y Teteras";87;0;"Hervidores y Teteras";"Hervidores y Teteras";"Hervidores y Teteras";"Hervidores y Teteras";" ";
102;1;Cortafiambres;87;0;Cortafiambres;Cortafiambres;Cortafiambres;Cortafiambres;" ";
103;1;"Picadoras y Embutidoras";87;0;"Picadoras y Embutidoras";"Picadoras y Embutidoras";"Picadoras y Embutidoras";"Picadoras y Embutidoras";" ";
104;1;Cocedores;87;0;Cocedores;Cocedores;Cocedores;Cocedores;" ";
105;1;"Campanas Extractoras";87;0;"Campanas Extractoras";"Campanas Extractoras";"Campanas Extractoras";"Campanas Extractoras";" ";
106;1;"Fiambreras y porta alimentos";64;0;"Fiambreras y porta alimentos";"Fiambreras y porta alimentos";"Fiambreras y porta alimentos";"Fiambreras y porta alimentos";" ";
107;1;"Porta alimentos y botellas";106;0;"Porta alimentos y botellas";"Porta alimentos y botellas";"Porta alimentos y botellas";"Porta alimentos y botellas";" ";
108;1;Fiambreras;106;0;Fiambreras;Fiambreras;Fiambreras;Fiambreras;" ";
109;1;"Fiambreras de cristal";106;0;"Fiambreras de cristal";"Fiambreras de cristal";"Fiambreras de cristal";"Fiambreras de cristal";" ";
110;1;"Complementos para porta alimentos";106;0;"Complementos para porta alimentos";"Complementos para porta alimentos";"Complementos para porta alimentos";"Complementos para porta alimentos";" ";
111;1;"Bolsas de envasado";106;0;"Bolsas de envasado";"Bolsas de envasado";"Bolsas de envasado";"Bolsas de envasado";" ";
112;1;"Botellas y fundas";106;0;"Botellas y fundas";"Botellas y fundas";"Botellas y fundas";"Botellas y fundas";" ";
113;1;"Fondues y raclettes";64;0;"Fondues y raclettes";"Fondues y raclettes";"Fondues y raclettes";"Fondues y raclettes";" ";
114;1;"Paelleros de gas";64;0;"Paelleros de gas";"Paelleros de gas";"Paelleros de gas";"Paelleros de gas";" ";
